City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Pandegelang,ID,-6.31,106.1058,73.35,86,100,2.86,moderate rain
80,Hay River,CA,60.8156,-115.7999,-9.42,70,40,2.3,scattered clouds
81,Port Lincoln,AU,-34.7333,135.8667,64.8,87,94,7.02,overcast clouds
82,Constitucion,CL,-35.3333,-72.4167,64.49,61,0,6.51,clear sky
83,Vallenar,CL,-28.5708,-70.7581,81.54,39,0,6.04,clear sky
84,Kutulik,RU,53.3508,102.7839,35.46,81,78,8.9,broken clouds
85,Qaanaaq,GL,77.484,-69.3632,-6.47,70,48,5.57,scattered clouds
86,Maldonado,UY,-34.6667,-54.9167,74.23,40,0,5.79,clear sky
87,Sambava,MG,-14.2667,50.1667,79.38,84,85,6.53,light rain
88,Castro,BR,-24.7911,-50.0119,69.21,83,100,6.22,overcast clouds
89,Klaksvik,FO,62.2266,-6.589,36.52,59,92,18.5,light rain
90,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds
91,Iracoubo,GF,5.4802,-53.2011,81.57,67,74,9.37,broken clouds
92,Lebu,CL,-37.6167,-73.65,59.36,66,1,8.3,clear sky
93,Sahuaripa,MX,29.05,-109.2333,68.54,17,66,2.15,broken clouds
94,Bredasdorp,ZA,-34.5322,20.0403,65.59,64,63,13.65,broken clouds
95,Tamiahua,MX,21.2667,-97.45,82.81,70,36,7.36,scattered clouds
96,Kerema,PG,-7.9631,145.7785,78.85,89,83,4.5,broken clouds
97,Esperance,AU,-33.8667,121.9,62.11,64,69,10.63,broken clouds
98,Innisfail,AU,-17.5333,146.0333,71.19,85,36,3.91,scattered clouds
99,Naze,JP,28.3667,129.4833,61.72,65,100,11.16,light rain
100,Taoudenni,ML,22.6783,-3.9836,100.62,8,20,7.63,few clouds
101,Rawson,AR,-43.3002,-65.1023,85.08,19,46,17.83,scattered clouds
102,Astoria,US,46.1879,-123.8313,38.95,94,0,6.91,clear sky
103,Yuncheng,CN,35.0231,110.9928,59.38,30,82,4.74,broken clouds
104,Thompson,CA,55.7435,-97.8558,-5.64,71,0,11.5,clear sky
105,Kaseda,JP,31.4167,130.3167,54.7,75,100,6.6,overcast clouds
106,Seminole,US,28.7086,-81.2081,86.14,64,0,9.22,clear sky
107,Alanya,TR,36.5438,31.9998,66.33,85,0,5.08,clear sky
108,Puerto Ayora,EC,-0.7393,-90.3518,85.96,89,80,8.01,broken clouds
109,East London,ZA,-33.0153,27.9116,68.94,52,0,10.36,clear sky
110,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,83,75,13.8,broken clouds
111,Butaritari,KI,3.0707,172.7902,81.66,73,100,18.25,overcast clouds
112,Hamilton,US,39.1834,-84.5333,54.61,77,75,11.5,broken clouds
113,Kununurra,AU,-15.7667,128.7333,76.98,88,46,0.0,scattered clouds
114,Golkoy,TR,40.6875,37.6178,44.01,85,7,2.15,clear sky
115,Mar Del Plata,AR,-38.0023,-57.5575,71.94,59,0,17.27,clear sky
116,Deputatskiy,RU,69.3,139.9,1.17,97,100,4.03,overcast clouds
117,Melfi,IT,40.9965,15.6514,55.96,85,98,6.15,overcast clouds
118,Qaqortoq,GL,60.7167,-46.0333,31.05,73,6,1.41,clear sky
119,Cayenne,GF,4.9333,-52.3333,82.44,78,87,10.36,overcast clouds
120,Ylojarvi,FI,61.5563,23.5961,23.63,89,100,21.0,snow
121,Pala,TD,9.3642,14.9046,89.42,13,99,3.36,overcast clouds
122,Hefei,CN,31.8639,117.2808,50.02,81,23,4.47,few clouds
123,Casablanca,MA,33.5928,-7.6192,80.82,60,0,6.91,clear sky
124,Hilo,US,19.7297,-155.09,72.28,93,100,6.91,overcast clouds
125,Northam,GB,51.0333,-4.2167,52.66,75,83,10.78,broken clouds
126,Ketchikan,US,55.3422,-131.6461,39.18,69,0,9.22,clear sky
127,Albacete,ES,38.8333,-2.0,65.21,19,0,8.05,clear sky
128,San Andres,CO,12.5847,-81.7006,84.22,70,20,14.97,few clouds
129,Srednekolymsk,RU,67.45,153.6833,-11.61,90,18,6.33,few clouds
